,CAFO_ID,NH3_1_mean,NH3_1_sum,NH3_1_median,NH3_2_mean,NH3_2_sum,NH3_2_median,NH3_3_mean,NH3_3_sum,NH3_3_median,WVBuiltUp_mean,WVBuiltUp_sum,WVBuiltUp_median,WVImpVeg_mean,WVImpVeg_sum,WVImpVeg_median,WVNonHom_mean,WVNonHom_sum,WVNonHom_median,WVSoil_mean,WVSoil_sum,WVSoil_median,WVWater_mean,WVWater_sum,WVWater_median
32,34,2.0570877393086753,24.6850528717041,2.060067653656006,2.0542430877685547,24.650917053222656,2.0553104877471924,1.871824582417806,22.461894989013672,1.882551670074463,-0.5994588534037272,-7.193506240844727,-0.5880496501922607,0.46688087781270343,5.602570533752441,0.454551100730896,0.5994588534037272,7.193506240844727,0.5880496501922607,-0.06134116152922312,-0.7360939383506775,-0.06789679825305939,-0.7255054314931234,-8.70606517791748,-0.7241091728210449
33,35,2.0553162892659507,61.659488677978516,2.0213303565979004,2.0670806884765627,62.012420654296875,2.06581711769104,1.8833897908528645,56.50169372558594,1.8922669887542725,-0.5866378784179688,-17.599136352539062,-0.580945611000061,0.45427703857421875,13.628311157226562,0.36661481857299805,0.5866378784179688,17.599136352539062,0.580945611000061,-0.047731006145477296,-1.4319301843643188,-0.08152967691421509,-0.712033208211263,-21.36099624633789,-0.7021056413650513
34,36,2.0369554792131694,71.29344177246094,2.0160751342773438,2.05460205078125,71.91107177734375,2.0495412349700928,1.899674333844866,66.48860168457031,1.9051167964935303,-0.5364328111921038,-18.775148391723633,-0.5427358150482178,0.374431528363909,13.105103492736816,0.3285320997238159,0.5364328111921038,18.775148391723633,0.5427358150482178,-0.07543823378426688,-2.640338182449341,-0.0852779820561409,-0.6571903773716518,-23.001663208007812,-0.6616408824920654
35,37,2.0293496449788413,73.05658721923828,2.013979434967041,2.0538037618001304,73.93693542480469,2.052804470062256,1.9032711452907987,68.51776123046875,1.9058221578598022,-0.5193363825480143,-18.696109771728516,-0.5086591839790344,0.3273690806494819,11.785286903381348,0.28414955735206604,0.5193363825480143,18.696109771728516,0.5086591839790344,-0.07616292768054539,-2.741865396499634,-0.08712566643953323,-0.6280090543958876,-22.608325958251953,-0.6349703073501587
36,38,2.053572790963309,115.00007629394531,2.0181117057800293,2.073641095842634,116.1239013671875,2.0763654708862305,1.8907606942313058,105.88259887695312,1.9004628658294678,-0.5963661330086845,-33.39650344848633,-0.5800098180770874,0.45562744140625,25.51513671875,0.4021391272544861,0.5963661330086845,33.39650344848633,0.5800098180770874,-0.05792936256953648,-3.244044303894043,-0.09080661833286285,-0.7301703861781529,-40.88954162597656,-0.7250430583953857
37,39,2.0396026611328124,40.79205322265625,2.0395214557647705,2.021297073364258,40.425941467285156,2.0150489807128906,1.927093505859375,38.5418701171875,1.9295122623443604,-0.5201515197753906,-10.403030395507812,-0.5127052068710327,0.219057035446167,4.38114070892334,0.20586779713630676,0.5201515197753906,10.403030395507812,0.5127052068710327,-0.104150390625,-2.0830078125,-0.10434915870428085,-0.597010612487793,-11.94021224975586,-0.5852714776992798
38,40,2.015686657963967,98.76864624023438,2.012660264968872,2.070879877830038,101.47311401367188,2.075779438018799,1.9047720772879464,93.33383178710938,1.9036587476730347,-0.4788263281997369,-23.46249008178711,-0.49171388149261475,0.30014147077287945,14.706932067871094,0.3149769902229309,0.4788263281997369,23.46249008178711,0.49171388149261475,-0.09609518245774873,-4.7086639404296875,-0.09597763419151306,-0.6082663633385483,-29.805051803588867,-0.635097086429596
39,41,2.0902854723808093,81.52113342285156,2.0792980194091797,2.0647688645582933,80.52598571777344,2.058502197265625,1.87947023831881,73.2993392944336,1.8830804824829102,-0.5962400191869491,-23.253360748291016,-0.5881268382072449,0.5154502086150341,20.102558135986328,0.5356274843215942,0.5962400191869491,23.253360748291016,0.5881268382072449,-0.03256077032822829,-1.2698700428009033,-0.05742581933736801,-0.7450367854191706,-29.056434631347656,-0.7683545351028442
40,42,2.026437250773112,60.79311752319336,2.0134329795837402,2.061298116048177,61.83894348144531,2.061706066131592,1.9052130381266277,57.15639114379883,1.906575083732605,-0.47439263661702474,-14.231779098510742,-0.46916717290878296,0.33085041046142577,9.925512313842773,0.28396350145339966,0.47439263661702474,14.231779098510742,0.46916717290878296,-0.06515624523162841,-1.9546873569488525,-0.0762147307395935,-0.6026641209920247,-18.079923629760742,-0.5996522903442383
41,43,2.068343112343236,39.298519134521484,2.0252184867858887,2.0805660047029195,39.53075408935547,2.085421562194824,1.8787865889699835,35.69694519042969,1.8901739120483398,-0.6167848486649362,-11.718912124633789,-0.585067093372345,0.5188020405016447,9.85723876953125,0.41727447509765625,0.6167848486649362,11.718912124633789,0.585067093372345,-0.051229545944615415,-0.9733613729476929,-0.0833263248205185,-0.7678578025416324,-14.589298248291016,-0.7368069887161255
42,44,2.0624192555745444,61.87257766723633,2.0137417316436768,2.0720938364664714,62.16281509399414,2.0708436965942383,1.8859310150146484,56.57793045043945,1.8972833156585693,-0.5838033040364583,-17.51409912109375,-0.5518006086349487,0.425703493754069,12.77110481262207,0.35075122117996216,0.5838033040364583,17.51409912109375,0.5518006086349487,-0.05689117511113485,-1.7067352533340454,-0.10340909659862518,-0.7107624053955078,-21.322872161865234,-0.688660740852356
43,45,2.0458744049072264,20.458744049072266,2.0264699459075928,2.0603002548217773,20.603002548217773,2.061063766479492,1.8884307861328125,18.884307861328125,1.8945982456207275,-0.47356300354003905,-4.735630035400391,-0.4427967667579651,0.3969853401184082,3.969853401184082,0.32866063714027405,0.47356300354003905,4.735630035400391,0.4427967667579651,-0.059625113010406496,-0.5962511301040649,-0.06153411045670509,-0.6272130012512207,-6.272130012512207,-0.5833182334899902
44,46,2.0519614219665527,32.831382751464844,2.023129940032959,2.050501585006714,32.80802536010742,2.0486702919006348,1.8908272981643677,30.253236770629883,1.8930948972702026,-0.49520835280418396,-7.923333644866943,-0.4681185483932495,0.41120272874832153,6.5792436599731445,0.3097166121006012,0.49520835280418396,7.923333644866943,0.4681185483932495,-0.05061081796884537,-0.8097730875015259,-0.06802515685558319,-0.6463991403579712,-10.342386245727539,-0.6090643405914307
45,51,2.010140499826205,118.5982894897461,2.0034563541412354,2.066150212692002,121.90286254882812,2.0698459148406982,1.9109731124619307,112.7474136352539,1.9168142080307007,-0.4861531338449252,-28.683034896850586,-0.4806211292743683,0.2761874441373146,16.295059204101562,0.2545970380306244,0.4861531338449252,28.683034896850586,0.4806211292743683,-0.08940633676819883,-5.2749738693237305,-0.0871758684515953,-0.5990798432948226,-35.34571075439453,-0.5807902812957764
46,52,2.016063044621394,131.04409790039062,2.0069522857666016,2.0687293419471153,134.4674072265625,2.067972183227539,1.905774395282452,123.87533569335938,1.9082629680633545,-0.5383220966045673,-34.990936279296875,-0.531332790851593,0.3104515662560096,20.179351806640625,0.2929915189743042,0.5383220966045673,34.990936279296875,0.531332790851593,-0.09647791202251728,-6.271064281463623,-0.10422495752573013,-0.6505386352539062,-42.285011291503906,-0.6551588773727417
47,53,2.0601171875,51.5029296875,2.0180752277374268,2.0770436096191407,51.926090240478516,2.07973575592041,1.890404510498047,47.26011276245117,1.9001250267028809,-0.5859098815917969,-14.647747039794922,-0.5680063366889954,0.40818626403808594,10.204656600952148,0.3457164168357849,0.5859098815917969,14.647747039794922,0.5680063366889954,-0.07140391826629638,-1.7850979566574097,-0.10725100338459015,-0.7083035278320312,-17.70758819580078,-0.681330680847168
48,54,2.092620849609375,43.945037841796875,2.021883487701416,2.078701927548363,43.652740478515625,2.084813356399536,1.8859085809616816,39.60408020019531,1.901808738708496,-0.6175275530133929,-12.96807861328125,-0.5952258110046387,0.5286141804286412,11.100897789001465,0.4325876832008362,0.6175275530133929,12.96807861328125,0.5952258110046387,-0.02331274464016869,-0.4895676374435425,-0.07879529148340225,-0.7667788550967262,-16.10235595703125,-0.7513757944107056
49,55,2.0515645345052085,55.392242431640625,2.0158488750457764,2.068964922869647,55.86205291748047,2.0671699047088623,1.8888829549153645,50.999839782714844,1.8946187496185303,-0.5553037148934824,-14.993200302124023,-0.5427396893501282,0.41565895080566406,11.22279167175293,0.37918683886528015,0.5553037148934824,14.993200302124023,0.5427396893501282,-0.06453920735253228,-1.7425585985183716,-0.08967927098274231,-0.6954247509991681,-18.77646827697754,-0.6923317909240723
50,56,2.0343143145243325,97.64708709716797,2.0120160579681396,2.0685922304789224,99.29242706298828,2.0693466663360596,1.8896684646606445,90.70408630371094,1.8905441761016846,-0.5466763973236084,-26.240467071533203,-0.5321182608604431,0.3922190268834432,18.826513290405273,0.34793150424957275,0.5466763973236084,26.240467071533203,0.5321182608604431,-0.0773970087369283,-3.7150564193725586,-0.10058434307575226,-0.6796077092488607,-32.62117004394531,-0.6736403703689575
51,57,2.0347422549599097,38.66010284423828,2.017310857772827,2.041134081388775,38.78154754638672,2.0403544902801514,1.909250962106805,36.2757682800293,1.9144381284713745,-0.497648138748972,-9.455314636230469,-0.4678564667701721,0.32730729956375926,6.218838691711426,0.22448191046714783,0.497648138748972,9.455314636230469,0.4678564667701721,-0.05708170564551102,-1.0845524072647095,-0.07673271000385284,-0.6115619257876748,-11.61967658996582,-0.5617868900299072
52,58,2.0407517751057944,36.7335319519043,2.0202760696411133,2.045562744140625,36.82012939453125,2.0451812744140625,1.8990614149305556,34.18310546875,1.8999149799346924,-0.5340341991848416,-9.612615585327148,-0.514559805393219,0.4141461319393582,7.454630374908447,0.3324474096298218,0.5340341991848416,9.612615585327148,0.514559805393219,-0.050529675351248846,-0.9095341563224792,-0.07028061151504517,-0.6739398638407389,-12.1309175491333,-0.6470719575881958
